ID Number,First Name,Last Name,Gender,Date of Birth,Age,Immigration Status,Country of Origin,Passport Number,Visa Type,Visa Issue Date,Visa Expiry Date,Permit Number,Asylum Status,Biometric Score,Email,Phone Number,Address,City,Province,Postal Code,Occupation,Language,Years in SA
'PR14569785,Sithembiso,Chiliza,Female,1993-11-04,31,Citizen,Botswana,BO287786,Retirement Visa,2023-09-29,2033-09-26,PER53387,N/A,0.92,nomusamthombeni@org,594-662-7590x9340,"26 Church Isitaladi, Vanderbijlpark, 8488",Newcastle,Western Cape,1452,Catering manager,Zulu,0
'8001100059062,Thuthukile,Swazi,Female,1980-01-10,45,Temporary Visa,South Africa,22696788,N/A,N/A,N/A,N/A,N/A,0.84,londiwelubelo@za.net,+1-831-311-3628x855,"6802 George Indlela, iBhayi, 3516",Centurion,KwaZulu-Natal,8811,Pharmacologist,Zulu,N/A
'PR96551747,Augustin,Guillaume,Male,1975-12-14,49,Asylum Seeker,Democratic Republic of Congo,13531640,Business Visa,2024-08-01,2034-07-30,PER59856,N/A,0.9,massonalain@org,0466202141,"23, rue Aimé Delmas, 13797 Leconte",Legrand-sur-Goncalves,Mpumalanga,19902,chef des ventes,French,2
'9901091153024,Bhekisisa,Mphankomo,Female,1999-01-09,26,Permanent Resident,South Africa,88735225,N/A,N/A,N/A,N/A,N/A,0.96,mngomathandiwe@za.net,896.425.6901x97607,"429 Thomas Indlela, Welkom, 1279",Boksburg,Western Cape,6430,Maintenance engineer,Zulu,N/A
'7703261743028,Nokulunga,Mabaso,Female,1977-03-26,48,Permanent Resident,South Africa,30941191,N/A,N/A,N/A,N/A,N/A,0.91,londiwemabuya@za.net,395.574.6637x166,"936 James Indlela, Soweto, 8629",Centurion,Northern Cape,3853,Metallurgist,Zulu,N/A
'6103045169024,Sibusiso,Mbatshazwa,Male,1961-03-04,64,Citizen,South Africa,87803621,N/A,N/A,N/A,N/A,N/A,0.82,nomasontomhlongo@co.za,447-968-6397x3377,"59 Adelaide Indlela, Klerksdorp, 3877",Mbombela,Limpopo,4698,"Designer, fashion/clothing",Zulu,N/A
'8405290732036,Nomathalente,Mpila,Female,1984-05-29,41,Temporary Visa,South Africa,21298421,N/A,N/A,N/A,N/A,N/A,0.93,nobantumangena@africa.com,482-234-9404x966,"9560 Elizabeth Ithafa, Polokwane, 8555",Rustenburg,Mpumalanga,4704,"Engineer, civil (consulting)",Zulu,N/A
'8109167440044,Bhekani,Sibiya,Male,1981-09-16,44,Permanent Resident,South Africa,17072250,N/A,N/A,N/A,N/A,N/A,1.0,thandeka54@za.net,(311)493-1677x8745,"246 Edward Indawo, Bethlehem, 9320",eGoli,Free State,8335,Plant breeder/geneticist,Zulu,N/A
'6609063073008,Dumisile,Nzimande,Female,1966-09-06,59,Temporary Visa,South Africa,22078238,N/A,N/A,N/A,N/A,N/A,0.87,thembile33@africa.com,+1-674-499-9598x453,"449 Prince Isitaladi, iBhayi, 7648",Rustenburg,Gauteng,3258,"Investment banker, operational",Zulu,N/A
'PR66270941,Sophie,Boucher,Female,2004-01-03,21,Citizen,United Kingdom,157512535,Business Visa,2024-10-22,2034-10-20,PER22424,N/A,0.61,simonemerle@co.uk,+33 (0)5 17 29 01 16,"64, rue de Evrard, 15190 Vasseurdan",Bouchet,Eastern Cape,63693,responsable de réseau d'assainissement,French,12
'8601058036081,Mzamo,Qomazitha,Male,1986-01-05,39,Citizen,South Africa,13080365,N/A,N/A,N/A,N/A,N/A,0.88,longodenomagugu@africa.com,(295)251-7885x39088,"1196 Cecil Isitaladi, Paarl, 9858",Mbombela,KwaZulu-Natal,6250,Musician,Zulu,N/A
'7509113884086,Sihawukele,Wasendlunkulu,Female,1975-09-11,50,Citizen,South Africa,69762209,N/A,N/A,N/A,N/A,N/A,0.93,msuthundumiso@co.za,+1-955-930-0887,"979 Paul Kruger Indawo, Mahikeng, 4693",Paarl,KwaZulu-Natal,4040,"Surveyor, minerals",Zulu,N/A
'8211059719045,Zenzele,Tiba,Male,1982-11-05,42,Citizen,South Africa,45195795,N/A,N/A,N/A,N/A,N/A,0.92,thembeka48@co.za,+1-571-559-7778x627,"7082 High Indawo, Polokwane, 1550",Randfontein,Western Cape,9430,Multimedia specialist,Zulu,N/A
'8303054675009,Thalente,Chagwe,Female,1983-03-05,42,Asylum Seeker,South Africa,69089355,N/A,N/A,N/A,N/A,N/A,0.82,mnyawose@africa.com,964-610-8222x0361,"275 Clarence Umgwaqo, Middelburg, 1527",Upington,Limpopo,9991,Teaching laboratory technician,Zulu,N/A
'AS316564,Nozibusiso,Mabhoko,Female,1992-06-14,33,Asylum Seeker,Lesotho,61325570,Asylum Seeker Permit,2023-06-07,2025-06-06,ASP77973,Application Submitted,0.38,nomalangagengeshe@com,687-263-3416,"612 Long Indlela, Springs, 4004",Soweto,North West,3441,"Programme researcher, broadcasting/film/video",Zulu,17
'6703234887094,Sihawukele,Lukhele,Female,1967-03-23,58,Citizen,South Africa,14349441,N/A,N/A,N/A,N/A,N/A,0.89,khaphelanomagugu@africa.com,(977)907-1853x5016,"661 Prince Umgwaqo, Welkom, 7211",Kimberley,Limpopo,1058,"Development worker, international aid",Zulu,N/A
'TV98206,Grégoire,Torres,Male,2000-05-16,25,Citizen,United Kingdom,380558319,Work Visa,2022-12-27,2023-04-09,VIS77874,N/A,0.55,tristan20@co.uk,02 55 50 45 47,"avenue Vincent, 92957 Prévost",Picard-sur-Andre,North West,01178,monteur en installations thermiques et climatiques,French,10
'PR82213079,Philippe,Barre,Male,1989-01-31,36,Citizen,United Kingdom,998512199,Relative's Visa,2024-02-03,2034-01-31,PER31330,N/A,0.71,ibegue@uk.com,04 38 59 74 27,"4, avenue Jacquot, 90540 GrondinBourg",Guillou,Limpopo,84153,animateur de bassin versant,French,4
'9207216681037,Zenzele,Shengele,Male,1992-07-21,33,Citizen,South Africa,30614743,N/A,N/A,N/A,N/A,N/A,0.81,djamile@africa.com,965.211.1247x4711,"8724 Walter Sisulu Indawo, Boksburg, 6525",Kathu,Eastern Cape,4738,Market researcher,Zulu,N/A
'PR73950712,Nothando,Miya,Female,1972-11-17,52,Citizen,Somalia,14817836,Corporate Visa,2023-10-12,2033-10-09,PER76805,N/A,0.67,pmakhedama@net,001-796-345-3400,"53 William Umgwaqo, Middelburg, 1391",Middelburg,Mpumalanga,9572,Glass blower/designer,Zulu,0
