ID Number,First Name,Last Name,Gender,Date of Birth,Age,Immigration Status,Country of Origin,Passport Number,Visa Type,Visa Issue Date,Visa Expiry Date,Permit Number,Asylum Status,Biometric Score,Email,Phone Number,Address,City,Province,Postal Code,Occupation,Language,Years in SA
'PR21313282,Margaret,Lopez,Female,1977-12-24,47,Citizen,France,697808769,Relative's Visa,2025-08-06,2035-08-04,PER69074,N/A,0.76,victornavarro@fr,+33 3 57 48 32 99,"16, avenue de Charles, 42997 Saint Rolandnec",Picard,Free State,61396,conducteur de train,French,20
'5001038090036,Luyanda,Mkhandlela,Male,1950-01-03,75,Citizen,South Africa,54378180,N/A,N/A,N/A,N/A,N/A,0.96,zmafulela@africa.com,(607)811-3504x4502,"1963 Oxford Ithafa, Kathu, 9611",uMgungundlovu,Limpopo,1090,Records manager,Zulu,N/A
'0412167044070,Luyanda,Mqadi,Male,2004-12-16,20,Citizen,South Africa,82104445,N/A,N/A,N/A,N/A,N/A,0.71,ymdaka@africa.com,(961)599-1296,"36 Milner Indawo, Centurion, 2250",Klerksdorp,Western Cape,9008,Microbiologist,Zulu,N/A
'9404027742042,Nhlanhla,Shamase,Male,1994-04-02,31,Citizen,South Africa,79887697,N/A,N/A,N/A,N/A,N/A,0.96,ncongwanenomalanga@za.net,984-263-4366x10972,"40 Voortrekker Umgwaqo, Mbombela, 7575",Springs,Limpopo,1987,Chiropractor,Zulu,N/A
'PR67876290,तृष्णा,भट्टाचार्य,Female,1973-11-06,51,Temporary Visa,India,88525228,Study Visa,2023-09-19,2033-09-16,PER70637,N/A,0.81,devdaansksenaa@co.in,040-37571033,"11 मिश्रा, हैदराबाद-869146",चंबा,Gauteng,865223,Heritage manager,Hindi,17
'9803046217066,Siyabonga,Motha,Male,1998-03-04,27,Citizen,South Africa,25346341,N/A,N/A,N/A,N/A,N/A,0.92,nomthandazo65@africa.com,968-688-8001,"1525 Nelson Mandela Indawo, uMgungundlovu, 4450",iKapa,Mpumalanga,8829,"Chemist, analytical",Zulu,N/A
'9808281800029,Sibongile,Dumisa,Female,1998-08-28,27,Citizen,South Africa,42593313,N/A,N/A,N/A,N/A,N/A,0.76,mpilasphiwe@africa.com,484.752.7033,"9690 Albertina Sisulu Isitaladi, eThekwini, 3974",Potchefstroom,KwaZulu-Natal,5586,Animal technologist,Zulu,N/A
'0106111567002,Gugulethu,Mjadu,Female,2001-06-11,24,Citizen,South Africa,59221038,N/A,N/A,N/A,N/A,N/A,0.72,phungulamusa@africa.com,235.587.9736x0667,"8215 Milner Umgwaqo, Paarl, 4138",Kathu,KwaZulu-Natal,4397,Charity fundraiser,Zulu,N/A
'0208248356075,Thando,Mahlase,Male,2002-08-24,23,Temporary Visa,South Africa,25579478,N/A,N/A,N/A,N/A,N/A,0.87,wandathabisile@co.za,+1-237-419-1197,"800 Churchill Umgwaqo, Mahikeng, 5677",Stellenbosch,Gauteng,1106,Interior and spatial designer,Zulu,N/A
'9111037847049,Musa,Gotsholo,Male,1991-11-03,33,Citizen,South Africa,77599902,N/A,N/A,N/A,N/A,N/A,0.89,makhathiniowethu@za.net,8602951057,"2693 Commissioner Isitaladi, Uitenhage, 5847",eThekwini,Free State,3289,Government social research officer,Zulu,N/A
'TV82119,Njabulo,Gubhuza,Male,1985-01-03,40,Temporary Visa,Zambia,52043797,Retirement Visa,2024-05-27,2025-05-31,VIS61830,N/A,0.8,mthokozisigubhuza@com,591-605-9831,"32 Main Umgwaqo, Vereeniging, 3985",Upington,Gauteng,8705,Astronomer,Zulu,9
'PR25842121,Simphiwe,Boyabenyathi,Female,1987-04-05,38,Citizen,Zimbabwe,ZI380464,Business Visa,2023-07-25,2033-07-22,PER54191,N/A,0.79,dumisani93@co.zw,(583)298-6583,"966 Rivonia Isitaladi, Vereeniging, 1204",George,Free State,1594,"Engineer, maintenance",Zulu,15
'6005164991059,Amahle,Ncwane,Female,1960-05-16,65,Permanent Resident,South Africa,90164460,N/A,N/A,N/A,N/A,N/A,0.9,mngwengwelangalibalele@co.za,341.290.7299x16806,"5436 Rivonia Indawo, Chatsworth, 6394",Klerksdorp,Limpopo,4151,Herbalist,Zulu,N/A
'5603236002017,Minenhle,Ngungunyana,Male,1956-03-23,69,Citizen,South Africa,45583025,N/A,N/A,N/A,N/A,N/A,0.98,mzamontshingila@za.net,+1-305-960-2718x09540,"2692 Smith Ithafa, Springs, 2048",Benoni,Gauteng,1087,Theatre manager,Zulu,N/A
'PR38472740,Sibonelo,Phoseka,Male,1996-01-04,29,Citizen,Malawi,28585412,Work Visa,2022-10-24,2032-10-21,PER37200,N/A,0.71,thembeka31@com,(525)433-1813,"94 Churchill Isitaladi, Uitenhage, 4685",Stellenbosch,Northern Cape,3939,Restaurant manager,Zulu,18
'AS268804,Roland,Paul,Male,1998-02-24,27,Citizen,Democratic Republic of Congo,16705629,Asylum Seeker Permit,2024-02-18,2026-02-17,ASP57444,Appeal Pending,0.71,andree81@com,+33 2 62 93 10 59,"99, rue Anaïs Julien, 47551 Sauvage-sur-Mer",Descamps-les-Bains,Western Cape,11199,analyste financier,French,16
'TV13958,Thembile,Shezi,Female,1973-03-04,52,Citizen,Kenya,K6519717,Relative's Visa,2023-07-14,2025-01-01,VIS83924,N/A,0.64,ngwanesithembiso@co.ke,580.600.6632,"240 Elizabeth Indlela, George, 6433",Potchefstroom,Gauteng,6950,"Teacher, special educational needs",Zulu,8
